id,calories,proteins,fat,carbohydrate,name,image
267,467.0,10.0,15.0,70.0,Fried Cookies,https://images.openfoodfacts.org/images/products/888/816/699/0104/front_en.12.400.jpg
268,80.0,0.0,0.0,19.0,NÜ Green Tea Rasa Madu,https://images.openfoodfacts.org/images/products/899/238/810/1023/front_id.16.400.jpg
269,60.0,3.0,3.0,5.0,Ultra Milk Full Cream,https://images.openfoodfacts.org/images/products/899/800/901/0552/front_en.5.400.jpg
270,355.0,9.0,8.2,62.0,Monster Tropical Muesli,https://images.openfoodfacts.org/images/products/932/379/500/0187/front_en.17.400.jpg
271,0.0,6.67,16.7,73.3,Twister Minis,https://images.openfoodfacts.org/images/products/899/100/178/0225/front_en.4.400.jpg
272,184.62,6.15,7.69,23.08,Koro Koro Chili Flavor,https://images.openfoodfacts.org/images/products/899/100/250/2161/front_en.3.400.jpg
273,475.0,13.75,18.75,63.75,Hot & Spicy Coates Roasted Peanut,https://images.openfoodfacts.org/images/products/899/100/250/2765/front_en.3.400.jpg
274,56.0,2.4,17.2,8.8,Ultra Milk Stroberi 250 ml E-1B,https://images.openfoodfacts.org/images/products/899/800/901/0248/front_en.3.400.jpg
275,166.67,6.67,20.0,73.33,Chocochips matcha cookies,https://images.openfoodfacts.org/images/products/899/838/912/4122/front_en.3.400.jpg
276,191.67,1.67,8.33,25.83,Feast-Wich,https://images.openfoodfacts.org/images/products/899/999/953/5490/front_en.3.400.jpg
277,0.0,0.0,5.0,9.8,M&Ms Chocolate Bar Cookies,https://images.openfoodfacts.org/images/products/930/068/205/1422/front_en.4.400.jpg
278,558.0,4.07,32.74,61.95,Kitkat Framboise,https://images.openfoodfacts.org/images/products/490/220/117/4107/front_en.9.400.jpg
279,130.0,5.0,4.0,18.0,Ultra Milk rasa Taro 200 ml,https://images.openfoodfacts.org/images/products/899/800/901/1702/front_fr.3.400.jpg
280,80.0,0.0,0.0,19.0,Tehbotol Sosro btl,https://images.openfoodfacts.org/images/products/899/600/685/8016/front_id.9.400.jpg
281,170.0,5.0,2.5,39.0,handcrafted granola,https://images.openfoodfacts.org/images/products/899/722/512/1059/front_fr.3.400.jpg
282,244.0,4.0,3.5,46.0,Peti Pain Fitness,https://images.openfoodfacts.org/images/products/761/670/019/8607/front_fr.3.400.jpg
