calories,proteins,fat,carbohydrate
14.29,0.0,0.0,3.43
359.0,35.6,1.0,52.0
0.0,0.0,0.0,11.3
154.0,3.8,3.5,28.4
534.0,40.2,39.3,4.9
10.0,1.0,3.0,25.0
100.0,1.4,0.5,23.6
452.0,14.5,42.3,2.3
463.33,1.3,5.4,20.1
122.0,13.8,5.7,3.9
56.0,2.4,17.2,8.8
217.0,2.5,1.0,49.6
35.0,0.0,3.5,1.0
453.6,9.5,18.2,68.1
46.0,2.2,1.5,6.0
380.0,7.0,1.0,85.0
38.0,1.5,0.2,7.5
31.0,1.2,0.3,7.1
450.0,3.2,13.9,78.1
281.0,37.5,0.3,32.1
100.0,2.0,2.5,17.0
120.0,0.0,0.0,30.0
231.0,0.6,0.2,56.6
418.0,19.0,9.0,65.5
82.0,6.7,1.0,10.9
46.0,0.6,0.0,11.8
485.0,3.6,23.1,65.2
154.0,1.0,0.3,36.8
472.0,2.0,29.8,62.7
52.0,3.3,2.5,4.0
12.0,0.7,0.1,2.7
122.0,6.0,1.0,26.0
101.0,1.7,0.6,25.2
210.0,1.6,6.6,35.8
282.61,8.7,9.78,39.13
67.0,5.2,2.9,5.1
98.0,1.3,1.2,20.5
353.0,6.8,0.6,80.0
520.0,4.0,28.0,60.0
507.0,6.9,28.3,56.3
364.0,7.0,0.5,80.0
99.0,4.6,1.0,18.0
164.0,3.0,2.4,32.6
48.0,4.5,0.8,9.1
81.0,11.4,1.9,3.8
42.0,1.2,0.6,9.3
150.0,5.0,22.0,22.0
430.0,33.4,32.4,0.0
35.0,0.0,0.0,8.0
109.0,22.0,1.7,0.0
34.0,2.4,0.3,5.5
347.0,0.3,0.1,85.6
210.0,4.0,12.5,20.6
98.0,19.6,1.7,1.0
400.0,76.7,10.0,3.33
458.0,4.0,13.0,75.0
122.0,3.5,4.5,17.5
367.0,46.4,5.4,32.5
286.0,30.2,15.6,30.1
200.0,7.0,15.0,9.0
38.0,3.0,0.3,7.9
500.0,1.2,25.1,67.3
562.0,21.2,49.6,23.6
42.0,1.5,3.5,1.0
571.0,8.57,37.1,51.4
92.0,0.5,1.1,22.4
355.0,9.2,3.9,73.7
371.43,7.14,10.0,62.86
45.0,0.8,0.9,8.1
47.0,2.8,0.4,10.4
535.0,5.9,30.0,57.5
180.0,5.0,5.0,29.0
20.0,0.0,0.0,4.8
348.0,4.7,0.1,82.1
105.0,5.9,4.9,9.4
454.55,9.09,18.18,72.73
25.0,0.0,0.0,6.0
58.0,0.3,0.4,14.9
394.0,0.0,0.0,94.0
335.0,5.3,3.5,70.5
460.0,18.0,28.0,36.0
350.0,0.9,0.4,85.7
75.0,16.1,0.7,0.1
76.0,1.1,0.9,16.0
370.0,22.0,6.6,58.0
458.0,6.9,14.4,75.1
567.0,0.0,37.2,48.4
110.0,1.4,1.1,23.4
74.0,1.4,0.1,17.2
538.0,15.4,34.6,46.2
600.0,23.3,43.3,30.0
50.0,0.0,0.0,13.0
77.0,0.6,0.2,18.4
80.0,14.7,1.4,2.2
75.0,2.5,2.25,11.5
810.0,0.0,90.0,0.0
361.0,8.7,4.5,72.4
417.0,25.9,19.4,32.0
107.0,2.2,2.2,19.6
65.0,0.5,3.0,8.0
41.0,1.4,0.3,8.1
322.0,2.4,0.6,76.6
204.08,6.12,12.24,8.16
110.0,2.0,6.0,11.0
39.0,1.5,0.3,0.2
450.0,5.0,10.0,80.0
118.0,4.4,1.5,21.6
155.0,10.3,4.2,19.1
870.0,1.0,98.0,0.0
130.0,7.0,7.0,10.0
431.0,11.1,16.2,63.0
294.0,8.3,1.7,72.6
80.0,3.0,2.0,12.0
49.0,3.1,2.5,3.6
402.0,6.0,2.0,88.0
130.0,1.0,60.0,16.0
21.2,0.3,0.0,4.85
348.0,0.4,3.8,76.1
110.0,0.0,30.0,65.0
355.0,9.2,3.9,73.7
6.3,3.0,0.0,0.8
52.2,2.61,3.04,4.35
52.0,0.4,0.2,13.7
475.0,1.6,25.5,64.4
100.0,1.0,3.0,18.0
559.0,26.9,44.2,23.6
36.0,2.9,0.6,6.8
389.0,1.2,0.7,94.0
301.0,20.0,23.7,0.0
902.0,0.0,100.0,0.0
414.0,26.6,18.3,41.3
394.2,2.6,37.4,11.8
157.0,0.8,0.3,37.9
15.0,0.0,1.0,2.0
202.0,17.1,14.8,0.0
49.0,0.9,0.3,12.2
162.0,4.9,3.0,27.8
454.55,10.23,18.18,63.64
251.0,16.3,19.4,1.4
118.0,1.2,0.2,31.1
100.0,1.0,1.5,16.0
500.0,10.0,30.0,60.0
90.0,20.4,0.9,0.0
112.0,20.0,3.0,0.0
